original (cond)	sample (pos)	generated (neg)	BLEU	METEOR
why is nikola tesla not taught in school ?	why has nikola tesla been ignored in school education ?		0	0
how should one change their diet to lose weight ?	how can i efficiently lose weight ?		0	0
how do you get mildew smell out of carpet ?	what are some of the best ways to clean mildew from a carpet ?		0	0
where and when will cbse private candidate forms be available ( 2016-17 ) ?	when will the forms for cbse improvement exam 2017 will be released ?		0	0
how can i write a letter to mr. narendra modi ?	how do i write letter to our prime minister narendra modi regarding my problem to share ?		0	0
how do i get rid of visible fat on my chest and belly ?	what is the way to reduce the fat on belly ?	why	1.4356718344577035e-15	0.0
why quora has word limit for question and question descriptions ?	why is there a sign limit on quora for questions ?	why quora ?	0.049132219503038595	0.14814814814814814
what are some of the best ways to clean a otterbox ?	how do you clean an otterbox ?	what are ?	0.1863913237232041	0.10572117832582396
is it true that hinduism is not a religion but philosophy ?	is hinduism neither a religion nor the ways of [ after ] life ?		0	0
what ’ s the easiest most painless way to die ?	what is the most painless way to do a suicide ?		0	0
how will long distance relationship work ?	can you help me with tips for a successful long distance relationship ?	does you relationship ?	0.23618327624257499	0.10223642172523964
how was google maps developed ?	how is google maps designed ?		0	0
what are vertical and horizontal stressors ?	how do horizontal and vertical stressors compare and contrast ?		0	0
movie review : what is your review of aamir khan 's dangal ( 2016 movie ) ?	what is your review of aamir khan ’ s dangal ( 2016 movie ) ?	why	2.629524688265395e-17	0.0
what are the differences between eccentric and concentric contraction ? what are some examples ?	what are some symptoms of eccentric and concentric contractions ?		0	0
how did prediction algorithms used for the us presidential election go wrong ?	why were the prediction polls in the u.s. presidential election so wrong ?		0	0
do you support donald trump or hillary clinton ? why ?	donald trump or hillary clinton ?		0	0
what are the difference between 32 bit and 64 bit processor ?	what is the difference between a 32-bit and 64-bit computer ?		0	0
how can i find the aim of my life ?	how do you find your passion and purpose in life ?		0	0
what 's the best way to become a supreme court justice ?	what does it take to become a supreme court justice ?	what	4.539992969438554e-08	0.020304568527918784
what are the elements of life that make it complicated ?	what are the elements in your life that make it “ complicated ” ?		0	0
which are the top ten best hollywood romantic movies ?	what are some of the best hollywood romantic movies apart from titanic ?		0	0
what can be done to stop hair loss . ?	how can i stop my hair fall ?		0	0
why are women 's olympic beach volleyball uniforms bikinis , while men play in long shorts and shirts ?	why do men in olympic beach volleyball get to wear comfortable shirts but women have to wear bikinis ?		0	0
what has bible predicted ?	what predictions has the bible made ?	what are some ?	1.005427487071676e-08	0.09696969696969698
how can we write a essay ?	how do i write an essay ?		0	0
what 's the point in being alive ?	what 's the point in me being alive ?	what are ?	3.44838093863103e-09	0.11336775674125071
what are some of the longest words and their meanings in the english language ?	what 's the longest word in the english language and what does it mean ?		0	0
my gmail is hacked . how do i recover the password ?	how do i recover my gmail account when the recovery phone is no longer in service and forget my old password ?		0	0
how do i conquer the world ?	what would it take to conquer the world ?	what are some the most	6.703200457507537e-09	0.10563100795385807
how can i increase my typing speed fast ?	how can i increase typing speed ?		0	0
what are the best phones under 15000 in india ?	which is the best mobile under 15000		0	0
how did donald trump manage to win the 2016 us election ?	why did trump win the election ?	why	2.4787521729482488e-06	0.08053691275167785
what 's new about the new 2000 rupee note that will help curb black money ?	how will the introduction of new 2000 rupee notes help in curbing the black money ?		0	0
is there any factual basis in evidence of psychic abilities ?	is there any scientfic evidence for psychic ability ?		0	0
how does the government print money ?	how does a government decide on printing money ?		0	0
how much does a full-arm tattoo cost ?	in the world of tattoos , how much does a full sleeve cost ?	why some lower as	1.0619764713730698e-16	0.0
when will the united states finally transition to universal health care ?	when do you think free universal health care is going to happen in the united states ?		0	0
what is it like to live in an israeli settlement on the west bank ?	what is it like to live in the west bank ?		0	0
what can i do to increase my iq ?	how to increase iq level ?		0	0
what is the differences between exceptions , and software interrupts ?	what is the difference between exception and software interrupt ?	what are some	1.2519027210204138e-09	0.04927251528023988
newtons third law ?	what 's newton 's third law ?	?	4.978706829318358e-05	0.04624277456647399
can electors of the electoral college vote their conscience ?	can the electoral college vote for anyone they want ?		0	0
why do girls wear bra ?	when do girls wear bras ?	women	2.1307259238645787e-13	0.058299595141700404
how cold can the gobi desert get , and how do its average temperatures compare to the ones in the kalahari desert ?	how cold can the gobi desert get , and how do its average temperatures compare to the ones in the great basin desert ?		0	0
how does one make reading interesting ?	how do i make reading interesting ?	why are some	1.0761308092620251e-16	0.04311377245508982
how can i get a job in tesla as a mechanical engineer ?	how do i get a job as a mechanical engineer in tesla ?		0	0
what is the best book for core java for beginners ?	which is the best book for java ?		0	0
how can you kill wolverine ?	how could you kill wolverine ?		0	0
how do i start learning c language ?	how should i start to learn c language ?		0	0
what are coplanar forces ?	what is coplanar force ?	what are are examples ?	0.38729833445614026	0.15404663900378046
how do you solve the following recurrence using substitution method ? [ math ] t ( n ) =t\left ( \left\lfloor\frac { n } { 4 } \right\rfloor\right ) +n [ /math ]	how do you solve the following recurrence using the substitution method ?	are are some	2.0325485533143833e-17	0.04188142997915282
as a fresher how can i be the penetration tester ?	is there a way to `` safely '' and legally `` train '' into becoming a penetration tester ?		0	0
what are some conspiracies that turned out to be true ?	which is the most unlikely conspiracy theory which turned out to be true ?		0	0
what are the bitter truths about doing mba in the us for an indian ?	what are the sweet and bitter truths about ms in usa ?	what are are some	0.05525039799086262	0.1108712857130899
what are some of the best technology inventions of 2016 ?	what are the best technology things in 2016 ?		0	0
why do all celebrities use iphones ?	why do so many celebrities use iphones ?	why	2.4787521729482488e-06	0.08053691275167785
why is the sun so big ?	why is the sun big ?		0	0
why modi banned rs 500 & rs 1000 notes ?	why modi is putting a ban on 500 and 1000 notes ?		0	0
what is the fibonacci sequence ? why was it created ?	what is the fibonacci sequence ?	why	6.737946988978591e-06	0.07228915662650602
how can i find my lost phone by tracking ?	can i track a lost phone ?		0	0
how do l calculate cgpa by marks ?	how do i calculate cgpa ?		0	0
how can i make my app go viral ?	how do i make my app go viral ?		0	0
what are some good post-apocalyptic movies ?	what are the best post-apocalyptic movies ?	what are some	0.26359713791802913	0.11068079635811989
if universe is expanding without a limit and dark and vacuum energy are created as it expands ?	if dark and vacuum energy are created with expansion is there potential energy that transforms into these types of energy with expansion ?		0	0
what is means love ?	what 's true love ?	an	5.791913560267694e-13	0.0
can i make money online ?	how do you make easy money online ?	are	2.1307259238645787e-13	0.06091844360604047
how do you discipline and motivate yourself into studying ?	what are the best ways to discipline yourself in school ?	what are some examples	0.09109250638218279	0.05095143061571473
how do i stop my miniature pinscher/chihuahua mix to stop humping my furniture ?	how do you stop your boxer/pitbull mix from humping your furniture ?		0	0
what are some tv shows similar to black mirror ?	could you reccomend a tv series that 's similar to `` black mirror '' ?		0	0
how can i improve my english in all aspects ?	what can i do to improve my english speaking ?		0	0
