original (cond)	sample (pos)	generated (neg)	BLEU	METEOR
why is nikola tesla not taught in school ?	why has nikola tesla been ignored in school education ?	how is a india	2.615418999812674e-09	0.06607534229703639
how should one change their diet to lose weight ?	how can i efficiently lose weight ?	is you does a of way weight ?	0.18898223647930362	0.13838263732730177
how do you get mildew smell out of carpet ?	what are some of the best ways to clean mildew from a carpet ?	how do my be home ?	0.1623567485296528	0.15034359479695883
where and when will cbse private candidate forms be available ( 2016-17 ) ?	when will the forms for cbse improvement exam 2017 will be released ?	where is with	4.6054927340999793e-10	0.04873475488483237
how can i write a letter to mr. narendra modi ?	how do i write letter to our prime minister narendra modi regarding my problem to share ?	how is a hemispheric )	3.011942117841947e-09	0.09832450546939864
how do i get rid of visible fat on my chest and belly ?	what is the way to reduce the fat on belly ?	how you how my buy do	4.34598208354969e-09	0.12162162162162163
why quora has word limit for question and question descriptions ?	why is there a sign limit on quora for questions ?	why is it	0.040116289237621554	0.10272465849942483
what are some of the best ways to clean a otterbox ?	how do you clean an otterbox ?	how do you india one i	0.3785581355808426	0.24938044265340417
is it true that hinduism is not a religion but philosophy ?	is hinduism neither a religion nor the ways of [ after ] life ?	did religion religion affect the us	3.00372305804955e-09	0.06714483452875299
what ’ s the easiest most painless way to die ?	what is the most painless way to do a suicide ?	what is it a	0.08688697167815888	0.0726398785546282
how will long distance relationship work ?	can you help me with tips for a successful long distance relationship ?	how long long i	6.09822597026799e-09	0.15047021943573669
how was google maps developed ?	how is google maps designed ?	is did is it or better	5.773502689875535e-09	0.029850746268656716
what are vertical and horizontal stressors ?	how do horizontal and vertical stressors compare and contrast ?	how are	2.5957555705883836e-09	0.10815162158996049
movie review : what is your review of aamir khan 's dangal ( 2016 movie ) ?	what is your review of aamir khan ’ s dangal ( 2016 movie ) ?	what is	0.0015034391910982786	0.038290153268322684
what are the differences between eccentric and concentric contraction ? what are some examples ?	what are some symptoms of eccentric and concentric contractions ?	how	3.9025606592368385e-15	0.0
how did prediction algorithms used for the us presidential election go wrong ?	why were the prediction polls in the u.s. presidential election so wrong ?	how donald president of	9.621588800802596e-10	0.0649746192893401
do you support donald trump or hillary clinton ? why ?	donald trump or hillary clinton ?	why is not	4.749303160001652e-09	0.1028566659521913
what are the difference between 32 bit and 64 bit processor ?	what is the difference between a 32-bit and 64-bit computer ?	are compounds and for	2.243411962079365e-09	0.03478260869565218
how can i find the aim of my life ?	how do you find your passion and purpose in life ?	how is	4.0955013555354697e-10	0.12201027575701721
